# Nq, RMSE
1.820000000000000000e+02,9.514794903552992178e-02
4.680000000000000000e+02,5.657467049991876662e-02
7.060000000000000000e+02,4.688721095718157567e-02
1.652000000000000000e+03,2.669695818678144428e-02
1.890000000000000000e+03,2.064818299297073792e-02
4.156000000000000000e+03,1.240943580414147727e-02
4.618000000000000000e+03,1.142660991219710334e-02
9.876000000000000000e+03,7.221075347651474859e-03
1.056200000000000000e+04,4.655288623249411763e-03
2.215600000000000000e+04,2.960772997617702827e-03
2.373800000000000000e+04,2.627313851283626968e-03
4.941200000000000000e+04,1.730584519722487124e-03
5.281200000000000000e+04,1.149480141491206805e-03
1.094620000000000000e+05,7.520962162191017087e-04
1.128960000000000000e+05,6.459072594096733561e-04
2.314980000000000000e+05,4.101689330205617783e-04
2.421600000000000000e+05,2.960149014510687275e-04
4.959300000000000000e+05,1.673923781101273951e-04
